ORDER,WORD,LANGUAGE,SEXUAL CRIME,VIOLENT CRIME,ORGANISED CRIME,PROPERTY CRIME,ROBBERY OF A PERSON,BURGLARY,CAR THEFT,SHOPLIFTING,MURDER,RAPE,KIDNAP,VANDALISM,GUNS,TOPICS
1,#ayotzinapa,spanish,0,1,1,0,0,0,0,0,1,0,0,0,0,3
2,#delincuente,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,#delincuentes,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,#Femicidios,spanish,1,1,0,0,0,0,0,0,1,0,0,0,0,3
5,#justicia,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,#NadieMenos,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
7,#NiUnaMenos,spanish,1,1,0,0,0,0,0,0,1,0,0,0,0,3
8,#NoMasVictimas,spanish,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,#SíVesAlgoDenuncia,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,#SiVesDenuncia,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,#VivasNosQueremos,spanish,1,1,0,0,0,0,0,0,0,0,0,0,0,2
12,agravado,spanish,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,amaga,spanish,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,antiasalto,spanish,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,antiasaltos,spanish,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,antirobos,spanish,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,antisecuestro,spanish,0,1,0,0,0,0,0,0,0,0,1,0,0,2
18,antisecuestros,spanish,0,1,0,0,0,0,0,0,0,0,1,0,0,2
19,arma,spanish,0,1,0,0,0,0,0,0,0,0,0,0,1,2
20,armados,spanish,0,1,0,0,0,0,0,0,0,0,0,0,1,2
21,asaltada,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
22,asaltado,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
23,asaltante,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
24,asaltantes,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
25,asalto,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
26,asesinado,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
27,asesinato,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
28,asesinatos,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
29,asesino,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
30,atracada,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
31,atracado,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
32,atraco,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
33,atracos,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
34,averiguación previa,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,ayotzinapa,spanish,0,1,1,0,0,0,0,0,1,0,0,0,0,3
36,bandolera,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
37,bandolerismo,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
38,bandolero,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
39,bandoleros,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
40,beltran leyva,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
41,beltran-leyva,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
42,bolsillera,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
43,bolsilleras,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
44,bolsillero,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
45,bolsilleros,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
46,butroneras,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
47,butronero,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
48,butroneros,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
49,caballeros templarios,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
50,cadaver,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
51,cadáver,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
52,calcinada,spanish,0,1,1,0,0,0,0,0,1,0,0,0,0,3
53,calcinado,spanish,0,1,1,0,0,0,0,0,1,0,0,0,0,3
54,calcinados,spanish,0,1,1,0,0,0,0,0,1,0,0,0,0,3
55,carabineros,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,carcel,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,cárcel,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,cartel jalisco,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
59,cárteles,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
60,carterista,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
61,carteristas,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
62,cereso,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,coche robado,spanish,0,0,0,1,0,0,1,0,0,0,0,0,0,2
64,complice,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,cómplice,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,complices,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,cómplices,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,contrabandear,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,contrabando,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,crimen,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,crimen organisado,spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,1
72,crimen organizado,spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,1
73,criminal,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,criminalidad,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,delictiva,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,delictivo,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,delincuente,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,delincuentes,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,delinquir,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,delito,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,denuncia,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,denunciado,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,descuideras,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
84,descuideros,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
85,disparo,spanish,0,1,0,0,0,0,0,0,0,0,0,0,1,2
86,disparos,spanish,0,1,0,0,0,0,0,0,0,0,0,0,1,2
87,doloso,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
88,empalmadores,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
89,encaloma,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
90,encalomo,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
91,encalomos,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
92,encarcelada,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,encarcelado,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,escaparatistas,spanish,0,0,0,1,0,0,0,1,0,0,0,0,0,2
95,escapatatista,spanish,0,0,0,1,0,0,0,1,0,0,0,0,0,2
96,espadista,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
97,espadistas,spanish,0,0,0,1,1,0,0,0,0,0,0,0,0,2
98,estrangulamiento,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
99,estrangular,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
100,extorsion,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
101,extorsión,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
102,extorsionada,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
103,extorsionado,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
104,extorsionados,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
105,falsificación,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,falsificado,spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,familia michoacana,spanish,0,1,1,0,0,0,0,0,0,0,0,0,0,2
108,feminicidio,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
109,feminicidios,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
110,fraude,spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,1
111,fraudulento,spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,1
112,graffitearon,spanish,0,0,0,0,0,0,0,0,0,0,0,1,0,1
113,grafitearon,spanish,0,0,0,0,0,0,0,0,0,0,0,1,0,1
114,grafiti,spanish,0,0,0,0,0,0,0,0,0,0,0,1,0,1
115,grafitti,spanish,0,0,0,0,0,0,0,0,0,0,0,1,0,1
116,grupo armado,spanish,0,1,1,0,0,0,0,0,0,0,0,0,1,3
117,hampa,spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,1
118,hampón,spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,1
119,hampones,spanish,0,0,1,0,0,0,0,0,0,0,0,0,0,1
120,homicida,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
121,homicidio,spanish,0,1,0,0,0,0,0,0,1,0,0,0,0,2
122,hurtada,spanish,0,0,0,1,0,0,0,0,0,0,0,0,0,1
123,hurtadas,spanish,0,0,0,1,0,0,0,0,0,0,0,0,0,1
124,hurtado,spanish,0,0,0,1,0,0,0,0,0,0,0,0,0,1
125,hurtados,spanish,0,0,0,1,0,0,0,0,0,0,0,0,0,1
